best_fit,worst_fit,std_fit,mean_fit,n_unique_inds,better_than_parents,worst_than_parents
14.994483264168178,73.45028630612617,7.811640956200742,23.685854649159168,85,18,28
14.994483264168178,29.565956745613867,1.713667580728224,21.703056523201194,58,19,35
14.994483264168178,51.87707060504372,3.5341399325172906,21.324331859725447,63,15,39
14.944747525135341,164.85693426301927,14.577618480421293,21.663268876751598,60,18,40
14.27488829095257,144.3619408964039,12.643543225702397,20.382394155449305,52,22,36
13.291545415749928,92.66856999840003,9.594332310450984,20.022440112850816,51,19,37
13.291545415749928,273.1491268870448,33.00888626035066,23.709873335391652,44,20,36
13.291545415749928,184.53514497738885,17.99644355309555,19.895807477104636,38,16,32
13.291545415749928,29.595257416403633,2.9161325805966594,15.857244008499668,32,18,46
13.291545415749928,382.8310839509326,49.71942380859599,23.507782802513372,32,17,39
13.291545415749928,356.76069215531226,47.96982212708408,22.64168002233367,26,23,41
13.291545415749928,357.0391924777815,34.19495796434271,18.79902746080388,25,21,41
13.291545415749928,221.77136045208258,20.861980085208625,17.747793621932264,26,17,43
13.266510771233078,382.64465794445397,49.846372586242026,22.557055017818183,27,21,35
13.266177770073197,344.5227884885295,45.995653318016274,21.793918949269525,27,18,46
13.266177770073197,27.161684784189333,4.169745341583537,15.716012218767823,25,19,41
13.260710969414289,357.46708896424104,56.03562449978864,26.11250470686648,34,22,36
13.260710969414289,333.53529437195266,31.951543245808217,18.811324332690603,27,15,53
13.260710969414289,361.78296264616273,56.48205504851511,25.748012726972682,26,20,38
13.260710969414289,363.4752249857716,34.92225777411931,18.891481803190036,21,20,44
13.260710969414289,342.6804185403762,62.413198271961114,27.191952311765228,20,16,46
13.260710969414289,327.4982675106487,43.962360662585155,20.423905820566894,18,13,51
13.260710969414289,329.84748576022224,44.09521966740658,20.83358268558589,19,9,55
13.260710969414289,329.84748576022224,61.520673689140345,27.87542390646861,22,13,53
13.260710969414289,327.4982675106487,43.956414873779835,21.252887056360873,23,7,57
13.260710969414289,365.79815231701247,86.22303566685551,41.03743167481418,15,12,50
13.260710969414289,327.4982675106487,79.84918874068956,36.701285336165355,9,6,56
13.260710969414289,329.8474828839267,68.27597774885126,31.32254435044217,12,3,61
13.260710969414289,327.4982675106487,43.921702556248384,20.779127343094448,8,1,59
13.260710969414289,327.4982675106487,53.51698837693678,23.557588468720198,9,0,62
13.122818132912512,365.79815231701247,46.67228486233429,21.27732024646393,11,5,55
13.122818132912512,342.72729629531693,69.64544289603272,30.380983345340425,9,11,51
13.104292924691741,327.4982675106487,31.30051546069895,17.733148423393512,13,18,50
12.958603666599398,327.4982675106487,43.96056901053392,20.345998520454255,13,14,44
12.958603666599398,343.1004774319231,45.07651611768026,20.292539693076822,12,19,49
12.958603666599398,343.4206507666538,32.87611934699869,17.089354342212253,11,22,44
12.958603666599398,342.72729629531693,32.82125074772562,17.448095330010904,12,20,44
12.958603666599398,337.7745000900853,44.785757696510984,19.708416485614336,11,12,52
12.829031934969427,359.2700019553401,65.07280356831586,27.437835847209545,22,11,49
12.829031934969427,337.916202037934,32.331374697364936,17.351295989775082,15,17,47
12.829031934969427,343.4206507666538,32.871361541540345,16.525295498164507,11,15,47
12.829031934969427,377.7265662534087,66.27192183795805,27.98578002803119,19,17,47
12.829031934969427,377.7265662534087,67.35293768797074,28.085394910796175,19,17,45
12.714558033637717,377.7265662534087,49.105058492397355,20.95412110750664,16,16,48
12.714558033637717,374.6682215780644,74.83727536013099,31.010411327840856,15,17,43
12.714558033637717,377.7428434622279,36.31033442520571,17.387536865958364,15,22,42
12.714558033637717,22.82510639509227,2.9367328935461194,13.886331736560145,10,21,47
12.714558033637717,405.5078986645107,89.39529217181448,35.763910890946846,13,15,45
12.714558033637717,391.398289245288,72.72321478454053,28.815974508464496,17,12,58
12.714558033637717,405.5078986645107,97.43627994409948,40.496510473215515,16,14,50
12.714558033637717,402.7299453222474,63.7607513271135,25.255171974484384,13,5,61
12.714558033637717,405.5078986645107,105.33800347339776,44.952443421110026,13,5,57
12.714558033637717,402.7299453222474,76.12651553233249,30.243810361864472,13,6,52
12.714558033637717,402.7299453222474,38.80886410537199,17.377054788027095,12,0,64
12.714558033637717,405.5078986645107,54.96977755180544,20.7849573039511,7,2,64
12.714558033637717,405.5078986645107,54.747693197939924,21.20984453508441,8,1,69
12.714558033637717,405.5078986645107,99.52302949966452,41.35845787094564,9,3,65
12.714558033637717,405.5078986645107,92.57004310267047,37.48526635153464,13,1,55
12.714558033637717,405.5078986645107,91.22190355111053,37.38515050615527,14,3,57
12.714558033637717,405.5078986645107,66.58234675815427,25.410305227024374,7,2,62
12.714558033637717,405.5078986645107,76.39127516236186,29.50411522602677,15,3,61
12.714558033637717,405.5078986645107,76.46327981910073,29.03201697038758,9,0,62
11.970207996697916,405.5078986645107,99.17899701186823,40.9631275641921,13,3,57
11.970207996697916,405.5078986645107,67.08740137272562,26.123085002509125,12,2,64
11.970207996697916,405.5078986645107,76.49813411292006,28.772778892905826,8,5,59
11.970207996697916,405.5078986645107,74.50902182936684,28.581505064821876,10,9,53
11.970207996697916,405.5078986645107,39.09430900816454,17.229691895576035,14,16,50
11.970207996697916,405.5078986645107,83.5385619488388,32.46123818363584,12,15,45
11.970207996697916,405.5078986645107,67.98415431179653,27.038958029596866,17,20,38
11.970207996697916,360.7984254086647,48.0141632420203,20.59157815768698,19,14,44
11.970207996697916,341.2030187720424,32.75908458069212,16.53096404476579,15,15,53
11.970207996697916,341.2030187720424,62.0221920355612,25.496082716082928,11,6,58
11.970207996697916,350.7501710289803,70.36171882073563,29.126060221618,9,5,59
11.970207996697916,316.55515857811616,40.684354378367956,18.88159534335425,10,2,64
11.970207996697916,350.7501710289803,53.892498606109775,22.402768921439193,9,1,59
11.970207996697916,350.7501710289803,70.34011033280314,29.088322143501685,14,1,63
11.970207996697916,350.7501710289803,45.066065987552186,19.10800596779915,10,0,54
11.970207996697916,350.7501710289803,55.8795367420505,23.080557759161966,11,6,56
11.970207996697916,350.7501710289803,62.96749685085792,26.605868526598005,8,6,60
11.970207996697916,350.7501710289803,47.307826933647114,20.827632759342883,14,4,52
